question,answer
"Question: Microcephaly is seen in
Beckwith hypoglycaemic syndrome
Fanconi syndrome
Down syndrome
Achondroplasia
Choices:
A. I and iv
B. I and ii
C. ii and iii
D. ii and iv
Answer:",I and ii
"Question: True statement regarding Achondroplasia is :
Choices:
A. AR inheritance
B. Shortened spine
C. Increased risk of pathological fracture
D. Diagnosed at birth by X-ray
Answer:",Diagnosed at birth by X-ray
"Question: If both husband and wife are suffering with Achondroplasia, what are their chances of having a normal child?
Choices:
A. 0%
B. 25%
C. 50%
D. 100%
Answer:",25%
"Question: All are true about Achondroplasia except
Choices:
A. Antosomal dominant
B. Acral osteolysis
C. Trident hand
D. Champaigne glass pelvis
Answer:",Acral osteolysis
"Question: Not a feature of Achondroplasia
Choices:
A. Tombstone iliac bone
B. Champagne glass pelvis
C. Acromelic dwarfism
D. Bullet shaped veebra
Answer:",Acromelic dwarfism
"Question: Achondroplasia shows which of the following type of inheritance?
Choices:
A. Autosomal dominant
B. Autosomal recessive
C. X linked dominant
D. X linked recessive
Answer:",Autosomal dominant
"Question: The earliest Cranial nerve involved in Acoustic Neuroma is:
Choices:
A. V
B. VI
C. VII
D. X
Answer:",V
"Question: Acromegaly is due to excess of:
Choices:
A. Somatomedin
B. Growth hormone
C. Somatostation
D. Insulin
Answer:",Growth hormone
"Question: Deficiency of growth hormone leads to –a) Delayed fusion of epiphysisb) Proportionate dwarfismc) Acromegaly d)  Mental retardation
Choices:
A. ac
B. a
C. ab
D. bc
Answer:",ab
"Question: Acromegaly is associated with all of the following EXCEPT:
Choices:
A. Nasal sinus enlargement
B. Increased heel pad thickness
C. Diabetes mellitus
D. Muscle hyperophy
Answer:",Muscle hyperophy
"Question: Angioid streaks is seen in -a) Pseudoxanthoma Elasticumb) Acromegalyc) Paget's diseased) All of above
Choices:
A. a
B. ac
C. ad
D. b
Answer:",ac
"Question: In Acromegaly All of the following are seen EXCEPT
Choices:
A. Visceromegaly
B. Decreased sweating
C. Hypertension
D. Soft tissue and bone enlargement
Answer:",Decreased sweating
"Question: Confirmatory investigation for Acromegaly is:
Choices:
A. Insulin induced GH suppression
B. Glucose induced GH suppression
C. Random GH assay
D. IGF - I level
Answer:",Glucose induced GH suppression
"Question: Acromegaly is a disorder of:
Choices:
A. Excess growth hormone secretion during adulthood
B. Excess thyroxine secretion
C. Excess ACTH secretion
D. Excess FSH secretion
Answer:",Excess growth hormone secretion during adulthood
"Question: Acromegaly results due to excessive release of:
Choices:
A. Thyroxine
B. Growth hormone
C. Insulin
D. Glucagon
Answer:",Growth hormone
"Question: Acromegaly is associated with
Choices:
A. Class. I malocclusion
B. Class. I cross bite
C. Class. II malocclusion
D. Class. III malocclusion
Answer:",Class. III malocclusion
"Question: Drug used in Acute Intermittent Porphyria is
Choices:
A. Opioids
B. Phenobarbitone
C. Primidone
D. Blood tranfusion
Answer:",Opioids
"Question: All of the following genetic syndromes are associated with Acute Myeloid Leukemia, except:
Choices:
A. Down's Syndrome
B. Klinefelter's Syndrome
C. Patau Syndrome
D. Turner's Syndrome
Answer:",Turner's Syndrome
"Question: A child with Acute Myeloid Leukemia presents with hyperleukocytosis. Treatment includes all of the following except ?
Choices:
A. IV fluid
B. Allopurinol
C. Alkalinization
D. Immediately sta induction chemotherapy
Answer:",Immediately sta induction chemotherapy
"Question: Which of the following is a poor prognostic factor in Acute Myeloid Leukemia (AML)
Choices:
A. Monosomy
B. Deletion of X or Y chromosome
C. t (8; 21) translocation
D. Nucleophosphin mutation
Answer:",Monosomy
"Question: Non-specific esterase is positive in all the categories of Acute Myeloid Leukemia, EXCEPT:
Choices:
A. M3
B. M4
C. M5
D. M6
Answer:",M3
"Question: The cause of the severe hemorrhage in Acute Promyelocytic Leukemia is?
Choices:
A. Disseminated intravascular coagulation
B. Immune complex deposits on blood vessels
C. Thrombocytopenia
D. Thrombocytosis
Answer:",Disseminated intravascular coagulation
"Question: A 26 year old man is critically ill, with multisystem organ failure, and he has not been able to give a clear history of respiratory distress. You suspect Acute Respiratory Distress Syndrome (ARDS). 1. The lung injury may be direct, as occurs in sepsis, or indirect, as occurs in Toxic inhalation 2. The aerial (a) PO2 (in mmHg)/FIO2 (inspiratory O2 fraction) > 200 mmHg is characteristic of ARDS 3. Ventilator-induced injury will be more with low tidal volume ventilation in ARDS 4. Moality was significantly lower in the high tidal volume ventilation, compared to the conventional tidal volume ventilated patients 5. High-dose glucocoicoids are useful in the care of ARDS patients
Choices:
A. 1,2,5-True & 3,4-False
B. All True
C. All False
D. 3,4-True & 1,2,5-False
Answer:",All False
"Question: Diffuse specific lesions on intestinal biopsy are seen in -a) Celiac sprueb) Whipples diseasec) Agammaglobulinemia d) Abetalipoproteinemal
Choices:
A. abc
B. bcd
C. ac
D. bd
Answer:",bcd
"Question: Agammaglobulinemia can present with?
Choices:
A. Rhinitis
B. Bronchiectasis
C. Giardia infections
D. All above
Answer:",All above
"Question: Diagnosis of X linked Agammaglobulinemia should be suspected if:
Choices:
A. Female sex
B. Absent tonsils and no palpable lymph nodes on physical examination
C. High isohemagglutinins titers
D. Low CD3
Answer:",Absent tonsils and no palpable lymph nodes on physical examination
"Question: Alkaptonuria an inherited metabolic disorder is due to the deficiency of
Choices:
A. Homogentisate oxidase
B. Cystathionase
C. Pheylalanine hydroxylase
D. Tyrosine transaminase
Answer:",Homogentisate oxidase
"Question: Alkaptonuria is caused by defect in which of the following enzymes?
Choices:
A. Enolase
B. Homogentisate oxidase
C. Pyruvate carboxylase
D. None of the above
Answer:",Homogentisate oxidase
"Question: Enzyme-deficient in Alkaptonuria
Choices:
A. Phenylalanine hydroxylase
B. Cystathionine synthase
C. Homogentisic acid oxidase
D. Tyrosinase
Answer:",Homogentisic acid oxidase
"Question: The earliest manifestation of Alkaptonuria is -
Choices:
A. Ankylosis of lumbodorsal spine
B. Ochronotic arthritis
C. Prostatic calculi
D. Pigmentation of tympanic membrane
Answer:",Ochronotic arthritis
"Question: Enzyme deficient in Alkaptonuria?
Choices:
A. Phenylalanine hydroxylase
B. Cystathionine synthase
C. Homogentisic acid oxidase
D. Tyrosinase
Answer:",Homogentisic acid oxidase
"Question: Which of the following is used to treat Alkaptonuria?
Choices:
A. Vitamin A
B. Vitamin C
C. Vitamin D
D. Vitamin K
Answer:",Vitamin C
"Question: Which substance gets accumulated in abnormal amounts in Alkaptonuria
Choices:
A. Acetoacetate
B. Oxalate
C. Homogentisate
D. Phenylacetic acid
Answer:",Homogentisate
"Question: Which is false about Alkaptonuria?
Choices:
A. Genitourinary system not involved
B. Hemogentistic oxidase deficiency
C. Black urine
D. Calcification in veebral bodies
Answer:",Genitourinary system not involved
"Question: Treatment of Alkaptonuria:
Choices:
A. Vitamin A
B. Vitamin C
C. Vitamin D
D. Vitamin K
Answer:",Vitamin C
"Question: Enzyme deficiency in Alkaptonuria is
Choices:
A. Tyrosine hydroxylase
B. Homogentisate acid oxidase
C. Phenyl alanine hydroxylase
D. Cystathione synthase
Answer:",Homogentisate acid oxidase
"Question: In Alkaptonuria deficiency is:
Choices:
A. Phosphofructo kinase
B. HMG CoA reductase
C. Homogentisate oxidase
D. Xanthine oxidase
Answer:",Homogentisate oxidase
"Question: Alkaptonuria is a metabolic disease caused by a defect in or lack of homogentisic acid oxidase which lead to
Choices:
A. Absent patella
B. Blue sclera
C. Darkly pigmented sclera cornea & ear
D. Absent radii
Answer:",Darkly pigmented sclera cornea & ear
"Question: Calcification of intervertebral disc is seen in – a) Goutb) Rheumatoid c) Alkaptonuriad) Psoriasis
Choices:
A. ac
B. bc
C. ad
D. b
Answer:",ac
"Question: Alkaptonuria is due to deficiency of
Choices:
A. Alkaptonase
B. Tyrosinase
C. Phenylalanine hydroxylase
D. Homogentisic acid oxidase
Answer:",Homogentisic acid oxidase
"Question: All of the following are used in Alopecia Areata except
Choices:
A. Tacrolimus
B. Acitretin
C. Steroids
D. Phototherapy
Answer:",Acitretin
"Question: Which one of the following is NOT true of Ameloblastoma -
Choices:
A. Most common odontogenic tumour
B. Generally benign
C. Common in 3rd to 5th decade
D. Arises from mesenchymal tissue
Answer:",Arises from mesenchymal tissue
"Question: True about Ameloblastoma: (PGI Dec 2006)
Choices:
A. Cystic lesion
B. Rapidly growing
C. Malignant disease
D. MC site is Tibia
Answer:",Cystic lesion
"Question: Ameloblastoma most frequently occurs in
Choices:
A. Mandibular molar region
B. Maxillary molar region
C. Mandibular premolar region
D. Maxillary premolar region
Answer:",Mandibular molar region
"Question: True about Ameloblastoma -a) Cystic lesionb) Rapidly growingc) Malignant diseased) MC site is Tibiae) Presented in children
Choices:
A. ae
B. b
C. ab
D. ad
Answer:",ae
"Question: Congo red staining of abdominal fat has confirmed a diagnosis of Amyloidosis in a 28-year-old man. Which is the most common cause of death in primary AL Amylodosis?
Choices:
A. Respiratory failure
B. Cardiac failure
C. Renal failure
D. Septicemia
Answer:",Cardiac failure
"Question: Amyloidosis of hea presents with -
Choices:
A. Arrhythmia
B. AV block
C. |Ed mass/voltage
D. AS
Answer:",Arrhythmia
"Question: Which type of Amyloidosis is caused by mutation of the transthyretin protein ?-
Choices:
A. Familial Mediterranean fever
B. Familial amyloidotic polyneuropathy
C. Dialysis associated amyloidosis
D. Prion protein associated amyloidosis
Answer:",Familial amyloidotic polyneuropathy
"Question: Amyloidosis is most commonly seen in ?
Choices:
A. Maturity onset DM
B. Type I DM
C. Type H DM
D. HTN
Answer:",Type H DM
"Question: Amyloidosis is commonly associated with:
Choices:
A. Chronic osteomyelitis
B. Periostitis
C. Acute osteomyelitis
D. Multiple myeloma
Answer:",Multiple myeloma
"Question: Amyloidosis causes which type of cardiomyopathy?
Choices:
A. Constrictive
B. Restrictive
C. Hypertrophic
D. Any of the above
Answer:",Restrictive
"Question: Polyneuropathy is seen in -a) Vitamin deficiencyb) Osteoporosisc) DMd) Myxoedemae) Amyloidosis
Choices:
A. bce
B. acde
C. abcd
D. abde
Answer:",acde
"Question: Amyloidosis is seen in which type of diabetes mellitus?
Choices:
A. Maturity onset DM
B. Type I DM
C. Type II DM
D. all of the above
Answer:",Type II DM
"Question: Small intestinal biopsy is specific for-a)  Tropical sprueb)  Celiac spruec)  Whipple's diseased)  Amyloidosis
Choices:
A. cd
B. bc
C. bd
D. ac
Answer:",cd
"Question: Amyloidosis mostly affects
Choices:
A. Liver
B. Tounge
C. Colon
D. Hea
Answer:",Hea
"Question: Confirmatory test for the diagnosis ofAmyloidosis is?
Choices:
A. Diagnostic peritoneal lavage
B. Tongue biopsy
C. Rectal biopsy
D. Whole body CT scan
Answer:",Rectal biopsy
"Question: Amyloidosis shown in Cardiac muscle is mainly due to …….. fibril
Choices:
A. AL
B. AA
C. AANF
D. ATTR
Answer:",ATTR
"Question: Major fibril protein in Primary Amyloidosis is ?
Choices:
A. AL
B. AA
C. Transthyretin
D. Procalciton
Answer:",AL
"Question: Major fibril protein in Primary Amyloidosis is -
Choices:
A. AL
B. AA
C. Transthyretin
D. Procalcitonin
Answer:",AL
"Question: Confirmatory test for the diagnosis of Amyloidosis-
Choices:
A. Diagnostic peritoneal lavage
B. Tongue biopsy
C. Rectal biopsy
D. Whole body CT scan
Answer:",Rectal biopsy
"Question: Confirmatory test for the diagnosis of Amyloidosis is:
Choices:
A. Diagnostic peritoneal lavage
B. Tongue biopsy
C. Rectal biopsy
D. Whole body CT scan
Answer:",Rectal biopsy
"Question: Amyloidosis of heart presents with -a) Arrhythmiab) AV blockc) ↑ed mass/voltage d) Hypertrophic cardiomyopathy
Choices:
A. ab
B. abc
C. acd
D. bcd
Answer:",abc
"Question: Amyloidosis is most commonly seen in-
Choices:
A. Maturity onset DM
B. Type I DM
C. Type II DM
D. HTN
Answer:",Type II DM
"Question: Which type ofAmyloidosis is caused by mutation of the transthyretin protein ?
Choices:
A. Familial Mediterranean fever
B. Familial amyloidotic polyneuropathy
C. Dialysis associated amyloidosis
D. Prion protein associated amyloidosis
Answer:",Familial amyloidotic polyneuropathy
"Question: Amyloidosis is most commonly seen in
Choices:
A. Maturity onset DM
B. Type1DM
C. Type2DM
D. Equally seen with all forms of DM
Answer:",Type2DM
"Question: Amyloidosis is?
Choices:
A. RNA misfolding
B. DNA repair defect
C. Mitochondrial defect
D. Misfolding of protein
Answer:",Misfolding of protein
"Question: Paraneoplastic syndrome not seen in renal cell cancer is?a)  Acanthosis nigricansb) Amyloidosisc)  Polycythemiad)  SLE
Choices:
A. b
B. c
C. ad
D. ab
Answer:",ad
"Question: Bone marrow in Amyloid Lightchain Amyloidosis shows which of the following features?
Choices:
A. Bone marrow plasmacytosis
B. Granulomatous reaction
C. Fibrosis
D. Giant cell formation
Answer:",Bone marrow plasmacytosis
"Question: Amyloidosis deposition most commonly occurs in:
Choices:
A. Renal vessels
B. Knee joints
C. Skin
D. Cornea
Answer:",Renal vessels
"Question: Amyloidosis most commonly affects -
Choices:
A. Liver
B. Tongue
C. Colon
D. Hea
Answer:",Hea
"Question: Which type of Amyloidosis is caused by the mutation of a transthyretin protein?
Choices:
A. Dialysis associated amyloidosis
B. Familial Mediterranean fever
C. Familial amyloidotic polyneuropathy
D. Prion protein associated amyloidosis
Answer:",Familial amyloidotic polyneuropathy
"Question: Egg shell calcifications can be seen in Sarcoidosis Silicosis Aspergillosis Pulmonary aery hypeension Amyloidosis scleroderma
Choices:
A. 1,2,3,4
B. 1,2,4,5
C. 1,2,3,6
D. 1,2,5,6
Answer:","1,2,5,6"
"Question: Amyloidosis most commonly affects
Choices:
A. Liver
B. Tongue
C. Colon
D. Hea
Answer:",Hea
"Question: Amyloidosis is found in the following except ?
Choices:
A. Multiple myeloma
B. Hypernephroma
C. Thymoma
D. Lymphoma
Answer:",Thymoma
"Question: Protein implicated in Familial Amyloidosis is
Choices:
A. Serum amyloid A
B. b2-microglobulin
C. Amyloid b peptide
D. Transthyretin
Answer:",Transthyretin
"Question: Amyloidosis is associated with which thyroid carcinoma?
Choices:
A. Papillary
B. Follicular
C. Anaplastic
D. Medullary
Answer:",Medullary
"Question: Amyloidosis of kidney may be seen in the following except -
Choices:
A. Enteric fever
B. Ulcerative colitis
C. Suppurative lung disease
D. Hansen's disease
Answer:",Enteric fever
"Question: Confirmatory test for the diagnosis of Amyloidosis is :
Choices:
A. Diagnostic peritoneal lavage
B. Tongue biopsy
C. Rectal biopsy
D. Whole body CT scan
Answer:",Rectal biopsy
"Question: Amyloidosis of kidney may be seen in the following except-
Choices:
A. Enteric fever
B. Ulcerative colitis
C. Suppurative lung disease
D. Hansen's disease
Answer:",Enteric fever
"Question: Amyloidosis deposition most commonly occurs in
Choices:
A. Renal vessels
B. Knee joints
C. Skin
D. Cornea
Answer:",Renal vessels
"Question: Amyloidosis is associated with -
Choices:
A. 21P
B. 22P
C. Y chromosome
D. 17 Q
Answer:",21P
"Question: Amyloidosis is most commonly seen in DM -
Choices:
A. Maturity onset DM
B. Type I DM
C. Type II DM
D. Hypertension
Answer:",Type II DM
"Question: Major fibril protein in Primary Amyloidosis is?
Choices:
A. AL
B. AA
C. Transthyretin
D. Procalcitonin
Answer:",AL
"Question: Which of the following tests is abnormal in patients with ALS (Amyotrophic Lateral Sclerosis)?
Choices:
A. V.E.P
B. MRI whole spine
C. CT whole Spine
D. Electromyography
Answer:",Electromyography
"Question: A multigravida came for routine antenatal check up. She had a history of medical termination of pregnancy due to fetus with anencephaly. Anencephaly is best diagnosed in the present pregnancy by using:
Choices:
A. Maternal Alpha fetoprotein
B. Amniotic fluid beta hCG
C. USG
D. X-ray
Answer:",USG
"Question: The following are causes of face presentation in a foetus? 1. Anencephaly 2. Multiparity 3. Hydraminos 4. Contracted Pelvis 5. Placenta prae
Choices:
A. 1, 2, 3 - False & 4, 5 - True
B. 2, 3, 4 - True & 1, 5 - False
C. 2, 3, 4 - False & 1, 5 - True
D. 1, 2, 4 - True & 3, 5 - False
Answer:","1, 2, 4 - True & 3, 5 - False"
"Question: Anencephaly is earliest diagnosed at :
Choices:
A. 6 weeks
B. 10 weeks
C. 14 weeks
D. 18 weeks
Answer:",10 weeks
"Question: Anencephaly can be diagnosed by ultrasound at:
Choices:
A. 14-18 week of gestation
B. 20-24 week of gestation
C. 24-37 weeks of gestation
D. 10-12 week of gestation
Answer:",10-12 week of gestation
"Question: Which favor face presentation:a) Anencephalyb) Contracted pelvisc) Placenta praevia d) Thyroid swellinge) Bicornuate uterus
Choices:
A. abd
B. bcd
C. abc
D. ab
Answer:",abd
"Question: Anencephaly is best diagnosed using :
Choices:
A. Maternal serum alpha-fetoprotein
B. Amniotic fluid alpha-fetoprotein
C. USG
D. X-ray
Answer:",USG
"Question: Anencephaly is best diagnosed using:
Choices:
A. Maternal serum alpha feto protein
B. Amniotic fluid alpha feto protein
C. USG
D. X-ray
Answer:",USG
"Question: Anencephaly is associated with the following factor :
Choices:
A. Hydramnios
B. Postmaturity
C. Prematurity
D. All of these
Answer:",All of these
"Question: Anencephaly can be diagnosed by USG at –
Choices:
A. 10–12 weeks of gestation
B. 14–18 weeks of gestation
C. 20–24 weeks of gestation
D. 24–28 weeks of gestation
Answer:",10–12 weeks of gestation
"Question: Causes of polyhydraminos include:a) Diabetes mellitusb) Preeclampsiac) Esophageal atresiad) Renal agenesise) Anencephaly
Choices:
A. acd
B. bde
C. cde
D. ace
Answer:",ace
"Question: Anencephaly is best diagnosed at 12 weeks by :
Choices:
A. Serum alpha fetoprotein
B. Ultrasonogram
C. Radiography
D. Amniography
Answer:",Ultrasonogram
"Question: Anencephaly causes all except :
Choices:
A. Prematurity
B. Face presentation
C. Hydramnios
D. None
Answer:",None
"Question: Which of the following is seen in Angelman Syndrome
Choices:
A. Uniparental disomy of maternal Chromosome
B. Obesity
C. Defective genomic imprinting of maternal chromosome
D. All of the above
Answer:",All of the above
"Question: Aniridia is associated with
Choices:
A. Retinoblastoma
B. Hepatoblastoma
C. Nephrobl astoma
D. Medulloblastoma
Answer:",Nephrobl astoma
"Question: Aniridia is associated with -
Choices:
A. Retinoblastoma
B. Hepatoblastoma
C. Nephroblastoma
D. Medulloblastoma
Answer:",Nephroblastoma
"Question: In which of the following conditions, Aniridia and Hemihypertrophy are most likely present -
Choices:
A. Neuroblastoma
B. Wilm's tumour
C. Non-Hodgkin's lymphoma
D. Germ cell tumour
Answer:",Wilm's tumour
"Question: In which of the following conditions Aniridia and help hyperophy6 are most likely present
Choices:
A. Nerublastoma
B. Wilms tumor
C. Non Hodgkin's lymphoma
D. Germ cell tumor
Answer:",Wilms tumor
"Question: Aniridia is associated with:
Choices:
A. Retinoblastoma
B. Hepatoblastoma
C. Nephroblastoma
D. Medulloblastoma
Answer:",Nephroblastoma
"Question: In which of the following conditions, Aniridia and Hemihyperophy are most likely present?
Choices:
A. Neuroblastoma
B. Wilms' tumour
C. Non-Hodgkin's lymphoma
D. Germ cell tumour
Answer:",Wilms' tumour
"Question: In which of the following conditions, Aniridia and Hemihyperophy are most likely present ?
Choices:
A. Neuroblastoma
B. Wilms' tumour
C. Non-Hodgkin's lymphoma
D. Germ cell tumour
Answer:",Wilms' tumour
"Question: Bacillus Anthrax is:
Choices:
A. Gram positive cocci in cluster
B. Gram positive rods with square ends
C. Gram positive bacili with spherical ends
D. Gram negative cocci in cluster
Answer:",Gram positive rods with square ends
"Question: Anthrax bacilli differs from anthracoid bacilli by being
Choices:
A. Non-capsulated
B. Strict aerobe
C. Non-motile
D. Haemolytic colonies on blood agar
Answer:",Non-motile
"Question: Immunoprophylaxis of leprosy includes-a)  BCGb)  MMRc)  ICRC bacillusd) Anthrax vaccinee) Mw
Choices:
A. a
B. ac
C. ad
D. b
Answer:",ac
"Question: Anthrax bacilli differs from anthracoid bacilli by being -
Choices:
A. Non-capsulated
B. Strict aerobe
C. Non-motile
D. Haemolytic colonies on blood agar
Answer:",Non-motile
"Question: Which of the following antibodies is most frequently seen in Antiphospholipid Syndrome?
Choices:
A. Beta 2 microglobulin antibody
B. Anti-nuclear antibody
C. Anti-centromere antibody
D. Anti- beta 2 glycoprotein antibody
Answer:",Anti- beta 2 glycoprotein antibody
"Question: Which of the following antibodies is most frequently seen in Antiphospholipid Syndrome? -
Choices:
A. Anti- beta 2 glycoprotein antibody
B. Beta 2 microglobulin antibody
C. Anti-nuclear antibody
D. Anti-centromere antibody
Answer:",Anti- beta 2 glycoprotein antibody
"Question: Which of the following antibodies is most frequently seen in Antiphospholipid Syndrome ? -
Choices:
A. Beta 2 microglobulin antibody
B. Anti-nuclear antibody
C. Anti-centromere antibody
D. Anti- beta 2 glycoprotein antibody
Answer:",Anti- beta 2 glycoprotein antibody
"Question: Which of the following antibodies is most frequently seen in Antiphospholipid Syndrome ?
Choices:
A. Beta 2 microglobulin antibody
B. Anti-nuclear antibody
C. Anti-centromere antibody
D. Anti- beta 2 glycoprotein antibody
Answer:",Anti- beta 2 glycoprotein antibody
"Question: Apraxia is a disorder of:
Choices:
A. Cerebellum
B. Sensory system
C. Motor system
D. Initiating and planning movement
Answer:",Initiating and planning movement
"Question: Allergic bronchopulmonary Aspergillosis is commonly a complication of:
Choices:
A. TB
B. Bronchogenic carcinoma
C. Cystic fibrosis
D. Wegener's granulomatosis
Answer:",Cystic fibrosis
"Question: Diagnostic criteria for Allergic Bronchopulmonary Aspergillosis include all, except
Choices:
A. Peripheral eosinophilia (>0.1 x 109/mm3)
B. Central bronchiectasis
C. Episodic Asthma
D. Detection of Aspergillus in sputum
Answer:",Peripheral eosinophilia (>0.1 x 109/mm3)
"Question: Neurotropic fungus is/are -a) Cryptococcus neoformansb) Histoplasmosisc) Trichophytond) Candidae) Aspergillosis
Choices:
A. abcd
B. bcde
C. abde
D. ade
Answer:",abde
